node1	node2	edge	edge_descrip	layer_descrip
AT1G79830	AT2G44610	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G79830	AT4G39890	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G79860	AT2G07040	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G80490	AT4G16890	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G13540	AT5G08185	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G17200	AT2G26590	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G17950	AT3G15880	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G18960	AT4G27500	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G23070	AT2G36990	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G28160	AT3G56970	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G28160	AT3G56980	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G40030	AT3G57080	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G45280	AT5G57450	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G46600	AT4G20780	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G01280	AT4G30490	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G05330	AT3G19050	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G09440	AT5G28840	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G10670	AT4G04770	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G14110	AT3G56940	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G23100	AT5G57160	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G54010	AT5G22290	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G54170	AT4G10760	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G54170	AT5G64350	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G54826	AT4G37910	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G54826	AT5G09590	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G59380	AT5G40280	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G15090	AT4G19990	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G26500	AT5G65720	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G29510	AT5G59800	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G01370	AT5G58630	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G01370	AT5G67110	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G13190	AT5G18650	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G17020	AT5G23405	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G20930	AT5G38110	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G50200	AT5G60780	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G50820	AT5G66330	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G07370	AT5G44740	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G08090	AT5G50200	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G10270	AT2G15400	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G12220	AT5G13160	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G16490	AT1G51190	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G17880	AT5G35620	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G18490	AT4G26500	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G24150	AT4G29350	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G30100	AT5G17790	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G32320	AT2G01450	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
